__3_segundos	"3 segundos"	"3 seconds"
__Automatico	"Automático"	"Automatic"
__A_gravacao_do_programa_agendado_comecara_em_x_seg_deseja_continuar	"A gravação do programa\nagendado começará em %d seg.\n Deseja continuar?"	"Scheduled program\nrecording will begin in %d sec.\n Do you want to continue?"
__Banda	"Banda"	"Band"
__Banda_C	"Banda C"	"C Band"
__Banda_KU	"Banda KU"	"KU Band"
__Bem_Vindo	"Bem-vindo"	"Welcome"
__Bem_vindo_ao_instala_facil_century	"Bem-vindo ao Instala Fácil Century"	"Welcome to Easy Install Century"
__Branco	"Branco"	"White"
__Busca_automatica	"Busca Automática"	"Automatic Search"
__Busca_manual	"Busca Manual"	"Manual Search"
__Buscando	"Buscando"	"Searching"
__Buscando_frequencias	"Buscando frequências ..."	"Searching for frequencies..."
__Buscando_informacoes_do_programa_atual	"Buscando informações do programa atual..."	"Searching for current program information..."
__Buscar	"Buscar"	"Search"
__CAK_Version	"Versão CAK"	"CAK Version"
__canais	"canais"	"channels"
__Canais_de_Radio	"Canais de Rádio"	"Radio channels"
__Canais_de_TV	"Canais de TV"	"TV channels"
__Canais_em	"canais em"	"channels in"
__canal	"canal"	"channel"
__Canal	"Canal"	"Channel"
__Canal_de_referencia	"Canal de referência"	"Reference channel"
__Canal_encontrado	"Canal encontrado"	"Channel found"
__Canal_invalido	"Canal inválido"	"Invalid channel"
__Cancelar	"Cancelar"	"Cancel"
__Carregando_lista_canais	"Carregando lista de canais."	"Loading channel list."
__Chave	"Chave"	"Switch"
__Chave_selecionada	"Chave selecionada"	"Selected switch"
__Chipset	"Chipset"	"Chipset"
__Cinza	"Cinza"	"Gray"
__Codificado	"Codificado"	"Encrypted"
__Codigo_de_Acesso	"Código de Acesso (SCUA):"	"Access Code (SCUA):"
__Compras	"Compras"	"Shopping"
__Configuracoes	"Configurações"	"Settings"
__Configuracoes_de_exibicao_de_fotos	"Configurações de exibição de fotos"	"Photo display settings"
__Configuracoes_de_legenda	"Configurações de legenda"	"Subtitle settings"
__Confirme_sua_senha	"Confirme sua senha"	"Confirm your password"
__Controle_parental	"Controle parental"	"Parental control"
__Cor_da_fonte	"Cor da fonte"	"Font color"
__Cor_de_fundo	"Cor de fundo"	"Background color"
__Crie_sua_senha	"Crie sua senha"	"Create your password"
__Data	"Data"	"Date"
__Data_da_ultima_ativacao	"Data da última ativação"	"Last activation date"
__Data_de_fabricacao	"Data de fabricação"	"Manufacture date"
__Data_e_hora	"Data e Hora"	"Date and Time"
__Data_hora	"Data/Hora"	"Date/Time"
__Data_invalida	"Data inválida"	"Invalid date"
__Desabilitado	"Desabilitado"	"Disabled"
__Desabilitar	"Desabilitar"	"Disable"
__Desativado	"Desativado"	"Disabled"
__Desconhecido	"Desconhecido"	"Unknown"
__Deseja_alterar_a_senha_parental	"Deseja alterar a senha parental?"	"Do you want to change the parental password?"
__Deseja_atualizar_o_receptor	"Deseja atualizar o receptor?"	"Do you want to update the set-top-box?"
__Deseja_confirmar	"Deseja confirmar?"	"Do you want confirm?"
__Deseje_executar_padrao_de_fabrica	"Deseja executar o padrão de fábrica?"	"Do you want execute factory default?"
__Deseja_remover_o_evento_da_lista	"Deseja remover o evento da lista?"	"Do you want to delete the event?"
__Desligar	"Desligar"	"Power Off"
__Desligado	"Desligado"	"Off"
__Deslizar_para_baixo	"Deslizar para baixo"	"Slide down"
__Deslizar_para_cima	"Deslizar para cima"	"Slide up"
__Deslizar_para_direita	"Deslizar para direita"	"Slide right"
__Deslizar_para_esquerda	"Deslizar para esquerda"	"Slide left"
__Deteccao_de_satelite_em_andamento_por_favor_aguarde	"Detecção de satélite em andamento, por favor aguarde."	"Satellite detection in progress, please wait."
__Deteccao_do_LNBF	"Detecção do LNBF"	"LNBF Detection"
__Detectacao_do_LNBF_concluida_com_sucesso	"Detecção do LNBF concluida com sucesso"	"LNBF Detection successfully finished"
__Detectando_tipo_de_LNBF_da_sua_antena	"Detectando tipo de LNBF da sua antena."	"Detecting Your antena LNBF type."
__Detectar_lnbf	"Detectar LNBF"	"Detect LNBF"
__Detectar_novamente	"Detectar novamente"	"Detect LNBF again"
__Diariamente	"Diariamente"	"Daily"
__Digite_a_senha_atual	"Digite a senha atual"	"Enter current password"
__Digite_a_senha_para_liberar_o_canal	"Digite a senha para liberar o canal"	"Enter the password to unlock the channel"
__Digite_a_nova_senha	"Digite a nova senha"	"Enter new password"
__Digite_novamente_a_nova_senha	"Digite novamente a nova senha"	"Re-enter new password"
__Direita	"Direita"	"Right"
__Diseqc_1_0	"DiseqC 1.0"	"DiseqC 1.0"
__Diseqc_1_1	"DiseqC 1.1"	"DiseqC 1.1"
__Editar	"Editar"	"Edit"
__Editar_Canais	"Editar Canais"	"Channel Edit"
__Editar_Canais_TV	"Editar Canais TV"	"TV Channel Edit"
__Editar_chaves	"Editar Chaves"	"Edit switches"
__Editar_Radios	"Editar Canais de Rádios"	"Radio Channel Edit"
__Editar_satelite	"Editar Satélite"	"Edit satellite"
__Educacao	"Educação"	"Education"
__Encontrada_atualizacao_de_programa	"Encontrada atualização de programa."	"Software update found."
__Encontradas_x_frequencias	"Encontradas %d frequências"	"%d frequencies found"
__Entre_com_a_senha	"Entre com a senha"	"Type your password"
__Entretenimento	"Entretenimento"	"Entertainment"
__Erro_Satelite_detectado_nao_e_o_selecionado	"Erro, satélite detectado não é o selecionado!"	"Error, satellite found is not the one selected!"
__Erro_tempo_de_gravacao_inferior_a	"Erro: Tempo de gravação inferior a "	"Error: Recording time less than "
__Erro_tempo_de_gravacao_inferior_a_2_minutos	"Erro: Tempo de gravação inferior a 2 minutos"	"Error: Recording time less than 2 minutes"
__Escolha_salvar_para_confirmar_alteracoes_e_pressione_ok	"Escolha SALVAR para confirmar alterações e pressione OK"	"Select Save to confirm changings and press OK"
__Escolha_um_satelite	"Escolha um Satélite"	"Choose a Satellite"
__Espaco	"Espaço"	"Space"
__Espaco_Disponivel	"Espaço Disponível"	"Available Space"
__Espaco_Total	"Espaço Total"	"Total Space"
__Esquerda	"Esquerda"	"Left"
__Esta_acao_vai_apagar_todos_canais	"Esta ação vai apagar todos os canais e reiniciar o receptor!"	"This action will delete all channels and restart set top box!"
__Esta_acao_vai_apagar_todos_canais_deseja_continuar	"Esta ação vai apagar todos os canais.\n Deseja continuar?"	"This action will delete all channels!\n Do you want to continue?"
__Este_e_um_exemplo_de_legenda	"Este é um exemplo de legenda"	"This is an example of subtitle"
__Excluir	"Excluir"	"Delete"
__Fale_conosco	"Fale conosco"	"Contact us"
__Falha_na_atualizacao_da_lista_de_canais	"Falha na atualização da lista de canais"	"Channel list update failed"
__Falha_na_atualizacao_de_software	"Falha na atualização de software"	"Software update failed"
__Falha_na_deteccao_do_LNBF	"Falha na detecção do LNBF"	"LNBF detection failed"
__Favoritos	"Favoritos"	"Favorites"
__Finalizar	"Finalizar"	"Finish"
__Finalizando	"Finalizando..."	"Finishing..."
__Forca	"Força"	"Strength"
__Fotos	"Fotos"	"Photos"
__Frequencia	"Frequência"	"Frequency"
__Funcao	"Função"	"Function"
__Fuso_horario	"Fuso horário"	"Time zone"
__Grande	"Grande"	"Large"
__Gravacao	"Gravação"	"Recording"
__Gravacoes	"Gravações"	"Recordings"
__gravar	"gravar"	"record"
__Gravar	"Gravar"	"Record"
__Guia_Programacao	"Guia Programação"	"Program Guide"
__Habilitado	"Habilitado"	"Enabled"
__Horario	"Horário"	"Time"
__Horizontal	"Horizontal"	"Horizontal"
__ID_do_Receptor	"ID do Receptor (CAID):"	"Receiver ID (CAID):"
__Idioma	"Idioma"	"Language"
__Ignorar	"Ignorar"	"Ignore"
__Imagem_nao_suportada_ou_muito_grande	"Imagem não suportada ou muito grande"	"Image not supported or too large."
__Impossivel_remover_o_satelite	"Impossível remover o satélite"	"Unable to remove satellite"
__Indefinido	"Indefinido"	"Undefined"
__Inf_do_Receptor	"Info. do receptor"	"Receiver Info"
__Informacoes	"Informações"	"Information"
__Informacoes_do_canal	"Informações do canal"	"Channel Information"
__Informacoes_do_Receptor	"Informações do Receptor"	"Receiver Information"
__Ingles	"Inglês"	"English"
__Iniciando	"Iniciando..."	"Starting..."
__Iniciando_multimedia	"Iniciando multimídia..."	"Starting multimedia..."
__Iniciando_o_timeshift	"Iniciando timeshift..."	"Starting timeshift..."
__Inicio	"Início"	"Home"
__Instala_Facil	"Instala Fácil"	"Easy Install"
__Instala_Rapido	"Instala Rápido"	"Quick Install"
__Instalacao_concluida	"Instalação concluída"	"Instalation completed"
__Instalacao_concluida_com_sucesso	"Instalação concluída com sucesso"	"Instalation successfully completed"
__Instalacao_concluida_com_sucesso_para_o_satelite	"Instalação concluída com sucesso para o satélite"	"Instalation successfully completed for the satellite"
__Interromper_o_modo_de_gravacao	"Interromper o modo de gravação?"	"Stop recording mode?"
__Interromper_o_modo_timeshift	"Interromper o modo timeshift?"	"Stop timeshift mode?"
__Invertido	"Invertido"	"Inverted"
__Lembrar	"Lembrar"	"Remind"
__Lista_de_Canais	"Lista de Canais"	"Channel list"
__Lista_de_canais_atualizada_com_sucesso	"Lista de canais atualizada com sucesso!"	"Channel List updated successfully!"
__Lista_de_canais_concluida_com_sucesso	"Lista de canais concluída com sucesso!"	"Channel list completed successfully!"
__Lista_de_Radios	"Lista de Rádios"	"Radio list"
__Lista_de_TV	"Lista de TV"	"TV list"
__Listando_arquivos	"Listando arquivos"	"Listing files"
__Listando_arquivos_de_multimidia	"Listando arquivos de multimídia"	"Listing multimedia files"
__LNBF_detectado_com_sucesso	"LNBF detectado com sucesso"	"LNBF detected successfully"
__LNBF_switch	"LNBF Switch"	"LNBF Switch"
__Mais_Informacoes	"Mais informações"	"More informations"
__Manter	"Manter"	"Keep"
__Manual	"Manual"	"Manual"
__Medio	"Médio"	"Medium"
__Meus_canais_TV	"Meus canais de TV"	"My Channels"
__Minhas_radios	"Minhas rádios"	"My Radios"
__Minutos	"minutos"	"minutes"
__Modelo	"Modelo"	"Model"
__Modo_PVR	"Modo PVR"	"PVR Mode"
__Monoponto	"Monoponto"	"Monopoint"
__Multimidia	"Multimídia"	"Multimedia"
__Multiponto	"Multiponto"	"Multipoint"
__Musicas	"Músicas"	"Music"
__Nao	"Não"	"No"
__Nao_ativado	"Não ativado"	"Not activated"
__Nao_foi_encontrada_atualizacao_no_transponder_atual	"Não foi encontrada atualização no transponder atual."	"No update found in current transponder."
__Nao_foi_possivel_concluir_a_ativacao	"Não foi possível concluir a ativação"	"Activation failed"
__Nao_foi_possivel_concluir_a_atualizacao_da_lista_de_canais	"Não foi possível concluir a atualização da lista de canais"	"Channel list update failed"
__Nao_foi_possivel_concluir_a_atualizacao_do_software	"Não foi possível concluir a atualização do software"	"Software update failed"
__Nao_foi_possivel_detectar_o_lnbf	"Não foi possível detectar o LNBF"	"LNBF not detected"
__Nao_ha_atualizacao_disponivel_no_momento	"Não há atualização disponível no momento"	"There is no update available at this time"
__Nao_Regionalizado	"Não Regionalizado"	"Not Regionalized"
__Nenhum	"Nenhum"	"None"
__Nenhum_arquivo_foi_encontrado	"Nenhum arquivo foi encontrado!"	"No file found!"
__Nenhum_audio	"Nenhum áudio"	"No audio"
__Nenhum_dispositivo_USB_encontrado	"Nenhum dispositivo USB encontrado"	"No USB devices found"
__Nenhum_evento_para_editar	"Nenhum evento para editar"	"No event to edit"
__Nenhum_satelite_encontrado	"Nenhum satélite encontrado!"	"No satellite found!"
__Nome	"Nome"	"Name"
__Nome_do_arquivo	"Nome do arquivo"	"File Name"
__Nome_do_satelite	"Nome do satélite"	"Satellite name"
__Normal	"Normal"	"Normal"
__Noticias	"Notícias"	"News"
__Nova_senha_e_a_confirmacao_nao_conferem	"Nova senha e a confirmação não conferem"	"New password and confirm password do not match"
__Nova_tentativa_em_xxx_segundos	"Nova tentativa em %d segundos."	"Retry in %d seconds."
__Novo_satelite	"Novo satélite"	"New satellite"
__O_canal_selecionado	"o canal selecionado"	"the selected channel."
__Ou	"ou"	"or"
__Outros_canais_TV	"Outros canais de TV"	"Others TV channels"
__O_programa_agendado_comecara_em_10_segundos	"O programa agendado\n começará em 10 segundos."	"The scheduled program\n will start in 10 seconds."
__O_sistema_precisa_ser_reiniciado_em_x_segundos	"O sistema precisa ser reiniciado!\n %d segundos."	"The system needs to be restarted!\n %d seconds."
__Padrao_de_cor	"Padrão de cor"	"Color standard"
__Padrao_de_cor_alterado_para	"Padrão de cor alterado para "	"Color standard changed to "
__Padrao_de_fabrica	"Padrão de fábrica"	"Factory Reset"
__Padrao_de_fabrica_confirm	"Deseja executar o\n Padrão de Fábrica?"	"Execute\nFactory Reset?"
__Pagina	"Página"	"Page"
__Parar	"Parar"	"Stop"
__Para_ativar_seu_midiabox_siga_as_instrucoes_abaixo_ou_use_o_qrcode	"Para ativar o seu MidiaBox siga as instruções abaixo ou use o QR Code."	"To activate your MidiaBox follow the instructions below or use the QR Code."
__Para_baixo	"Para baixo"	"Down"
__Para_cima	"Para cima"	"Up"
__Para_direita	"Para direita"	"Right"
__Para_esquerda	"Para esquerda"	"Left"
__Para_mais_informacoes_de_como_atualizar	"Para mais informações de como atualizar o seu MidiaBox acesse:"	"For more information on how to update your MidiaBox visit:"
__Para_uma_experiencia_continua_atualize_software	"Para uma experiência contínua, atualize seu software para a versão mais recente."	"For a seamless experience, update your software to the latest version."
__Pausado	"Pausado"	"Paused"
__Pendrive_nao_encontrado	"Pendrive não encontrado!"	"Pendrive not found!"
__Pendrive_removido_Gravacao_interrompida	"Pendrive removido. Gravação interrompida!"	"USB drive removed. Recording stopped!"
__Pequeno	"Pequeno"	"Small"
__Polaridade	"Polaridade"	"Polarity"
__Por_favor_aguarde	"Por favor, aguarde."	"Please wait"
__Por_favor_inserir_pendrive_audios	"Por favor inserir Pendrive com arquivos de áudio: mp3,acc e ac3"	"Please insert flash disk with compatible audio files: mp3,acc and ac3"
__Por_favor_inserir_pendrive_imagens	"Por favor inserir Pendrive com arquivos de imagens: png, jpg e jpeg"	"Please insert flash disk with compatible image: png, jpg and jpeg"
__Por_favor_inserir_pendrive_videos	"Por favor inserir Pendrive com arquivos de video: mp4 e mov"	"Please insert flash disk with compatible video files: mp4 e mov"
__Portugues	"Português"	"Portuguese"
__Potencia	"Potência"	"Power"
__Pressione_a_tecla_mais_para_abrir_o_menu_de_configuracoes_ou_a_tecla_voltar_para_voltar_ao_menu_inicial	"Pressione a tecla --+-- para abrir o menu de configurações ou a tecla --voltar-- para voltar ao menu inicial"	"Press the --+-- key to open settings menu or the --voltar-- key to return to home menu"
__Pressione_a_tecla_mais_para_alterar_o_tipo_de_lnbf	"Pressione a tecla --+--  para alterar o tipo de LNBF"	"Press the --+-- key to change LNBF type"
__Pressione_a_tecla_mais_para_favoritar	"Pressione a tecla + para favoritar/desfavoritar"	"Press the + key to favorite/unfavorite"
__Pressione_a_tecla_ok_para_editar_o_satelite	"Pressione --ok-- para editar o satélite"	"Press key --ok-- to edit a satellite"
__Pressione_a_tecla_ok_para_editar	"Pressione --ok-- para editar, --5-- para remover ou pressione --+-- para incluir um novo"	"Press key --ok-- to edit, --5-- to remove or press --+-- to insert a new one"
__Pressione_a_tecla_ok_para_editar_ou_remover	"Pressione --ok-- para editar ou --5-- para remover"	"Press key --ok-- to edit or --5-- to remove"
__Pressione_a_tecla_ok_para_navegar_na_programacao	"Pressione a tecla Ok para navegar na programação"	"Press the Ok key to navigate the programming"
__Pressione_a_tecla_ok_para_prosseguir	"Pressione a tecla  +   para prosseguir"	"Press key  +   to go on"
__Pressione_mais_para_favoritar_desfavoritar	"Pressione --+-- para favoritar/desfavoritar."	"Press --+-- to favorite/unfavorite."
__Pressione_ok_para_alterar_o_valor	"Pressione OK para alterar o valor"	"Press OK to change the value"
__Pressione_ok_para_confirmar_resolucao_ou_aguarde	"Pressione OK para confirmar a resolução escolhida ou aguarde"	"Press OK to confirm new resolution or wait"
__Pressione_ok_para_continuar	"Pressione --ok-- para continuar"	"Press --ok-- to continue"
__Pressione_ok_para_editar_para_incluir_ou_para_excluir	"Pressione --ok-- para editar, --+-- para incluir --5-- para excluir."	"Press --ok-- to edit, --+-- to insert or --5-- to remove."
__Pressione_ok_para_editar_5_para_remover_ou_pressione_3_para_incluir_um_novo	"Pressione  ok  para editar,  5   para remover ou pressione  3   para incluir um novo."	"Press --ok-- to edit, --5-- to remove or press --3-- to insert a new one."
__Pressione_ok_para_prosseguir	"Pressione OK para  +   prosseguir"	"Press  +   to go on"
__Pressione_ok_para_selecionar_o_canal_mova_as_teclas	"Pressione --ok-- para selecionar o canal, mova com as teclas para cima ou para baixo e pressione --ok-- para concluir"	"Press --ok-- to select the channel, move with the up or down keys and press --ok-- to finish"
__Pressione_ok_para_voltar	"Pressione  ok  para voltar."	"Press  ok  to return."
__Pressione_ok_para_voltar_ao_menu_anterior	"Pressione OK para voltar ao menu anterior"	"Press OK to return to previous Menu"
__Pressione_salvar_para_confirmar_alteracoes	"Pressione SALVAR para confirmar alterações"	"Press SAVE to confirm changes"
__Pressione_voltar_para_voltar	"Pressione --voltar-- para voltar"	"Press --voltar-- to return"
__Preto	"Preto"	"Black"
__Procurando_arquivos_de_multimidia	"Procurando arquivos de multimídia"	"Searching for multimedia files"
__Procurando_atualizacao	"Procurando atualização ..."	"Searching for update ..."
__Procurando_canais	"Procurando canais ..."	"Searching for channels..."
__Procurando_o_arquivo_para_atualizacao_por_favor_aguarde	"Procurando o arquivo para atualização. Por favor aguarde."	"Searching for update file. Please wait."
__Procurando_pendrive_por_favor_aguarde	"Procurando pendrive. Por favor aguarde."	"Searching for flash disk. Please wait."
__Procurando_transponder	"Procurando transponder ..."	"Searching for transponder..."
__Programa_inadequado_para_menores_de	"Programa inadequado para menores de %s anos"	"Program unsuitable for children under %s years old"
__Programa_nao_autorizado_para_sua_regiao	"Programa não autorizado para sua região"	"Program not authorized for your region."
__Progresso	"Progresso"	"Progress"
__Project_Info	"Info. Projeto"	"Project Info"
__Proximo	"Próximo"	"Next"
__Qualidade	"Qualidade"	"Quality"
__Radio	"Rádio"	"Radio"
__Radios	"Rádios"	"Radios"
__Regionais	"Regionais"	"Regionals"
__regionalizado	"regionalizado"	"regionalized"
__Regionalizado	"Regionalizado"	"Regionalized"
__Regionalizado_Nacional	"Regionalizado Nacional"	"National Regionalized"
__Relacao_de_aspecto	"Relação de aspecto"	"Aspect ratio"
__Relacao_de_aspecto_selecionada	"Relação de aspecto selecionada: "	"Selected aspect ratio: "
__Religioso	"Religioso"	"Religious"
__Repetir	"Repetir"	"Repeat"
__Resolucao	"Resolução"	"Resolution"
__Resolucao_alterada_para	"Resolução alterada para "	"Resolution changed to "
__revisao	"revisão"	"revision"
__Sair_Instala_Facil	"Sair Instala Fácil"	"Easy Install Exit"
__Salvar	"Salvar"	"Save"
__Satelite	"Satélite"	"Satellite"
__Satelite_detectado_com_sucesso	"Satélite detectado com sucesso!"	"Satellite detected successfully!"
__Satelite_Sky_nao_detectado	"Satélite Sky não detectado.\n"	"Sky satellite not detected.\n"
__Satelite_Star_One_D2_nao_detectado	"Satélite Star One D2 não detectado.\n"	"Star One D2 satellite not detected.\n"
__Satelite_Sky_Star_One_D2_nao_detectados	"Satélites Sky e Star One D2 não detectados.\n"	"Sky and Star One D2 satellites not detected.\n"
__Segundos	"segundos"	"seconds"
__Selecionar_chave	"Selecionar chave"	"Select switch"
__Selecione_a_opcao_desejada_e_pressione_ok_ou_pressione_voltar	"Selecione a opção desejada e pressione --ok-- ou pressione --voltar-- para voltar"	"Select the desire option and press --ok-- or press --voltar-- to return"
__Selecione_a_opcao_desejada	"Selecione a opção desejada"	"Select the desire option"
__Selecione_a_opcao_desejada_e_pressione_ok_para_continuar	"Selecione a opção desejada e pressione --ok-- para continuar"	"Select the options desire and press --ok-- to continue."
__Selecione_a_opcao_desejada_e_pressione_ok_para_continuar_e_voltar_para_salvar	"Selecione a opção desejada e pressione --ok-- para continuar e --voltar-- para voltar"	"Select the desired option and press --ok-- to continue and --voltar-- to go back.."
__Selecione_o_satelite_desejado_e_pressione_ok_para_continuar	"Selecione o Satélite desejado e pressione --ok-- para continuar"	"Select the desired Satellite and press --ok-- to continue"
__Selecione_o_satelite_desejado_e_pressione_ok_para_editar_5_para_remover_ou_mais_para_incluir_um_novo	"Selecione o Satélite desejado e pressione --ok-- para editar, --5-- para remover ou --+-- para incluir um novo"	"Select the desired Satellite and press --ok-- to edit, --5-- to remove or --+-- to insert a new one"
__Selecione_o_lnbf_desejado_e_pressione_ok_para_continuar	"Selecione o LNBF desejado e pressione --ok-- para continuar"	"Select the desired LNBF and press --ok-- to continue"
__Selecione_o_tempo_para_desligar	"Selecione o tempo para desligar"	"Select the time to power off"
__Selecione_uma_das_opcoes_abaixo_para_prosseguir	"Selecione uma das opções abaixo para prosseguir"	"Select one option bellow to procede"
__Sem_audio	"Sem áudio"	"No audio"
__Sem_informacoes	"Sem informações"	"No information"
__Sem_espaco_disponivel_no_disco	"Sem espaco disponível no disco"	"No space left on device"
__Sem_sinal_da_antena	"Sem sinal da antena"	"No signal"
__Semanalmente	"Semanalmente"	"Weekly"
__Senha	"Senha"	"Password"
__Senha_incorreta	"Senha incorreta!"	"Incorrect password!"
__Servico	"Serviço"	"Service"
__Seu_receptor_esta_com_software_atualizado	"Seu receptor está com software atualizado"	"Your set-top-box is up to date"
__Siga_os_passos_para_instalacao	"Siga os passos para instalação do seu receptor MidiaBox."	"Follow the steps to install your MidiaBox receiver."
__Sim	"Sim"	"Yes"
__Sinal	"Sinal"	"Signal"
__Sintonizando_novo_transponder	"Sintonizando novo transponder ..."	"Tuning new transponder..."
__Sistema_de_Arquivos	"Sistema de Arquivos"	"File System"
__Slide_show	"Slide show"	"Slide show"
__Software_atualizado_com_sucesso	"Software atualizado com sucesso"	"Software successfully updated"
__Suporte	"Suporte"	"Service"
__Tamanho_atual_do_arquivo	"Tamanho atual do arquivo"	"Current File Size"
__Tamanho_da_fonte	"Tamanho da fonte"	"Font size"
__Taxa_de_gravacao	"Taxa de gravação"	"Recording Rate"
__4x3_Tela_cheia	"4x3 Tela cheia"	"4x3 Full screen"
__16x9_Tela_cheia	"16x9 Tela cheia"	"16x9 Full screen"
__Tela_de_Diagnostico	"Tela de Diagnóstico" 	"Diagnostic screen"
__Tem_certeza_que_deseja_apagar_o_satelite	"Tem certeza que deseja apagar o satélite"	"Confirm delete of satellite"
__Tempo_de_exibicao	"Tempo de exibição"	"Display time"
__Tempo_max_de_gravacao	"Tempo max de gravação"	"Max Recording Time"
__Tempo_para_desligar	"Tempo para desligar"	"Time to turn off"
__Termino	"Término"	"End"
__Termos_de_uso	"Termos de uso"	"Terms of use"
__Termos_e_condicoes_de_uso	"Termos e condições de uso"	"Terms and conditions"
__Termos_e_condicoes_de_uso_do_skyb1	"Termos e condições de uso do Sky B1 - Banda Ku"	"Terms and usage conditon of Sky B1 - Ku Band"
__Timeshift	"Timeshift"	"Timeshift"
__Tipo	"Tipo"	"Type"
__Tipo_de_LNBF	"Tipo de LNBF"	"LNBF type"
__Tipo_de_transicao	"Tipo de transição"	"Transition type"
__Todas_Radios	"Todas as Rádios"	"All Radio Channels"
__Todos_canais_TV	"Todos canais de TV"	"All TV Channels"
__Todos_os_canais_serao_perdidos	"Todos os canais serão perdidos!"	"All channels will be lost!"
__Todos_os_canais_e_configuracoes_serao_perdidos	"Todos os canais e configurações serão perdidos!"	"All channels and settings will be lost!"
__Total_Radios	"Total %d %s de Rádio"	"Total %d %s Radios"
__Total_TV	"Total %d %s de TV"	"Total %d %s TVs"
__Transparente	"Transparente"	"Transparent"
